Comorbid Condition,Concept ID,Concept Code,Concept Name,Vocabulary
"Malignancy, except skin neoplasms",196363,93134000,Letterer-Siwe disease of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",434595,93135004,Letterer-Siwe disease of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",444466,93136003,Letterer-Siwe disease of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",436362,93137007,"Letterer-Siwe disease of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",444465,93138002,Letterer-Siwe disease of lymph nodes of inguinal region AND/OR lower limb,SNOMED CT
"Malignancy, except skin neoplasms",141814,93139005,Letterer-Siwe disease of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",197816,93140007,Letterer-Siwe disease of spleen,SNOMED CT
"Malignancy, except skin neoplasms",317510,93143009,Leukemia,SNOMED CT
"Malignancy, except skin neoplasms",135766,93142004,Leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",132852,93152000,Leukemic reticuloendotheliosis of extranodal AND/OR solid organ site,SNOMED CT
"Malignancy, except skin neoplasms",193429,93144003,Leukemic reticuloendotheliosis of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",196650,93145002,Leukemic reticuloendotheliosis of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",442095,93146001,Leukemic reticuloendotheliosis of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",439269,188648000,Leukemic reticuloendotheliosis of lymph nodes of axilla and upper limb,SNOMED CT
"Malignancy, except skin neoplasms",132570,188645002,"Leukemic reticuloendotheliosis of lymph nodes of head, face and neck",SNOMED CT
"Malignancy, except skin neoplasms",439268,188649008,Leukemic reticuloendotheliosis of lymph nodes of inguinal region and lower limb,SNOMED CT
"Malignancy, except skin neoplasms",318989,93150008,Leukemic reticuloendotheliosis of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",4001171,109841003,Liver cell carcinoma,SNOMED CT
"Malignancy, except skin neoplasms",4038841,118607005,Lymphocyte-rich classical Hodgkin lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",4002358,109976000,Lymphoepithelioid lymphoma (clinical),SNOMED CT
"Malignancy, except skin neoplasms",132853,188725004,Lymphoid leukemia,SNOMED CT
"Malignancy, except skin neoplasms",760934,122951000119108,Lymphoid leukemia in relapse,SNOMED CT
"Malignancy, except skin neoplasms",134596,93169003,Lymphoid leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",200662,188498009,Lymphosarcoma,SNOMED CT
"Malignancy, except skin neoplasms",440957,188487008,Lymphosarcoma and reticulosarcoma,SNOMED CT
"Malignancy, except skin neoplasms",197228,188502002,Lymphosarcoma of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",201810,188505000,Lymphosarcoma of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",135194,188501009,Lymphosarcoma of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",441803,188503007,Lymphosarcoma of lymph nodes of axilla and upper limb,SNOMED CT
"Malignancy, except skin neoplasms",438380,188500005,"Lymphosarcoma of lymph nodes of head, face and neck",SNOMED CT
"Malignancy, except skin neoplasms",198702,188504001,Lymphosarcoma of lymph nodes of inguinal region and lower limb,SNOMED CT
"Malignancy, except skin neoplasms",318697,188507008,Lymphosarcoma of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",195201,188506004,Lymphosarcoma of spleen,SNOMED CT
"Malignancy, except skin neoplasms",4041104,118612006,Malignant histiocytosis (clinical),SNOMED CT
"Malignancy, except skin neoplasms",436929,93190006,Malignant histiocytosis of extranodal AND/OR solid organ site,SNOMED CT
"Malignancy, except skin neoplasms",198098,93182006,Malignant histiocytosis of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",192270,93183001,Malignant histiocytosis of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",441812,93184007,Malignant histiocytosis of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",435200,93185008,Malignant histiocytosis of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",441525,93186009,"Malignant histiocytosis of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",197232,93187000,Malignant histiocytosis of lymph nodes of inguinal region AND/OR lower limb,SNOMED CT
"Malignancy, except skin neoplasms",321815,93188005,Malignant histiocytosis of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",193721,93189002,Malignant histiocytosis of spleen,SNOMED CT
"Malignancy, except skin neoplasms",4003834,109980005,Malignant immunoproliferative disease (clinical),SNOMED CT
"Malignancy, except skin neoplasms",432571,118600007,Malignant lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",4094544,188676008,Malignant lymphoma - mixed small and large cell,SNOMED CT
"Malignancy, except skin neoplasms",440058,93199007,Malignant lymphoma of extranodal AND/OR solid organ site,SNOMED CT
"Malignancy, except skin neoplasms",200349,93191005,Malignant lymphoma of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",195195,93192003,Malignant lymphoma of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",435753,93193008,Malignant lymphoma of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",441521,93194002,Malignant lymphoma of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",438698,93195001,"Malignant lymphoma of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",192560,93196000,Malignant lymphoma of lymph nodes of inguinal region AND/OR lower limb,SNOMED CT
"Malignancy, except skin neoplasms",132841,93197009,Malignant lymphoma of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",200343,93198004,Malignant lymphoma of spleen,SNOMED CT
"Malignancy, except skin neoplasms",4040379,118615008,Malignant mast cell tumor (clinical),SNOMED CT
"Malignancy, except skin neoplasms",4245916,93200005,Malignant mast cell tumor of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",200667,93201009,Malignant mast cell tumor of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",434601,93202002,Malignant mast cell tumor of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",441245,93203007,Malignant mast cell tumor of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",435495,93204001,"Malignant mast cell tumor of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",198705,93205000,Malignant mast cell tumor of lymph nodes of inguinal region AND/OR lower limb,SNOMED CT
"Malignancy, except skin neoplasms",4095589,188032002,Malignant melanoma of ear and/or external auditory canal,SNOMED CT
"Malignancy, except skin neoplasms",4089860,188030005,Malignant melanoma of lip,SNOMED CT
"Malignancy, except skin neoplasms",4151263,269581007,Malignant melanoma of lower limb,SNOMED CT
"Malignancy, except skin neoplasms",4095592,188044004,Malignant melanoma of scalp and/or neck,SNOMED CT
"Malignancy, except skin neoplasms",141232,93655004,Malignant melanoma of skin,SNOMED CT
"Malignancy, except skin neoplasms",4244051,93215006,Malignant melanoma of skin of breast,SNOMED CT
"Malignancy, except skin neoplasms",434590,93224002,Malignant melanoma of skin of eyelid,SNOMED CT
"Malignancy, except skin neoplasms",133713,93225001,Malignant melanoma of skin of face,SNOMED CT
"Malignancy, except skin neoplasms",140048,93640008,Malignant melanoma of skin of lip,SNOMED CT
"Malignancy, except skin neoplasms",139757,93641007,Malignant melanoma of skin of lower limb,SNOMED CT
"Malignancy, except skin neoplasms",4244488,93643005,Malignant melanoma of skin of nose,SNOMED CT
"Malignancy, except skin neoplasms",133714,93651008,Malignant melanoma of skin of trunk,SNOMED CT
"Malignancy, except skin neoplasms",438983,93653006,Malignant melanoma of skin of upper limb,SNOMED CT
"Malignancy, except skin neoplasms",4153890,269579005,Malignant melanoma of trunk,SNOMED CT
"Malignancy, except skin neoplasms",4149851,269580008,Malignant melanoma of upper limb,SNOMED CT
"Malignancy, except skin neoplasms",4032870,109383000,Malignant mesothelioma of pericardium,SNOMED CT
"Malignancy, except skin neoplasms",4111917,254645002,Malignant mesothelioma of pleura,SNOMED CT
"Malignancy, except skin neoplasms",197506,188366002,Malignant neoplasm of abdomen,SNOMED CT
"Malignancy, except skin neoplasms",40481902,443488001,Malignant neoplasm of anorectum,SNOMED CT
"Malignancy, except skin neoplasms",77812,188242006,Malignant neoplasm of anterior wall of urinary bladder,SNOMED CT
"Malignancy, except skin neoplasms",377229,187833006,"Malignant neoplasm of auditory tube, middle ear and mastoid air cells",SNOMED CT
"Malignancy, except skin neoplasms",4091467,188156001,Malignant neoplasm of axillary tail of female breast,SNOMED CT
"Malignancy, except skin neoplasms",258084,187900002,Malignant neoplasm of bones of skull and face,SNOMED CT
"Malignancy, except skin neoplasms",4091490,188280007,Malignant neoplasm of cerebrum (excluding lobes and ventricles),SNOMED CT
"Malignancy, except skin neoplasms",4095018,188015001,Malignant neoplasm of connective and soft tissue of abdomen,SNOMED CT
"Malignancy, except skin neoplasms",4089777,187999008,Malignant neoplasm of connective and soft tissue of hip and lower limb,SNOMED CT
"Malignancy, except skin neoplasms",201231,188019007,Malignant neoplasm of connective and soft tissue of pelvis,SNOMED CT
"Malignancy, except skin neoplasms",4092358,188009001,Malignant neoplasm of connective and soft tissue of thorax,SNOMED CT
"Malignancy, except skin neoplasms",4092235,187991006,Malignant neoplasm of connective and soft tissue of upper limb and shoulder,SNOMED CT
"Malignancy, except skin neoplasms",194286,188189001,"Malignant neoplasm of corpus uteri, excluding isthmus",SNOMED CT
"Malignancy, except skin neoplasms",40491001,448675008,Malignant neoplasm of digestive system,SNOMED CT
"Malignancy, except skin neoplasms",374297,188261005,"Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid",SNOMED CT
"Malignancy, except skin neoplasms",4095748,188191009,Malignant neoplasm of fundus of corpus uteri,SNOMED CT
"Malignancy, except skin neoplasms",73153,188241004,Malignant neoplasm of lateral wall of urinary bladder,SNOMED CT
"Malignancy, except skin neoplasms",436045,271323007,"Malignant neoplasm of lip, oral cavity and pharynx",SNOMED CT
"Malignancy, except skin neoplasms",4246127,93870000,Malignant neoplasm of liver,SNOMED CT
"Malignancy, except skin neoplasms",4095432,187767006,Malignant neoplasm of liver and intrahepatic bile ducts,SNOMED CT
"Malignancy, except skin neoplasms",4334322,430621000,Malignant neoplasm of lower respiratory tract,SNOMED CT
"Malignancy, except skin neoplasms",4095442,187828007,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses",SNOMED CT
"Malignancy, except skin neoplasms",4091464,188147009,Malignant neoplasm of nipple and areola of female breast,SNOMED CT
"Malignancy, except skin neoplasms",4091469,188163001,Malignant neoplasm of nipple and areola of male breast,SNOMED CT
"Malignancy, except skin neoplasms",4092223,187906008,Malignant neoplasm of orbital bone,SNOMED CT
"Malignancy, except skin neoplasms",4091486,188256008,Malignant neoplasm of overlapping lesion of urinary organs,SNOMED CT
"Malignancy, except skin neoplasms",4089769,187952001,"Malignant neoplasm of pelvic bones, sacrum and coccyx",SNOMED CT
"Malignancy, except skin neoplasms",4091621,188326001,Malignant neoplasm of peripheral nerve of abdomen,SNOMED CT
"Malignancy, except skin neoplasms",4097284,188327005,Malignant neoplasm of peripheral nerve of pelvis,SNOMED CT
"Malignancy, except skin neoplasms",4094262,188325002,Malignant neoplasm of peripheral nerve of thorax,SNOMED CT
"Malignancy, except skin neoplasms",4094260,188321006,Malignant neoplasm of peripheral nerves and autonomic nervous system,SNOMED CT
"Malignancy, except skin neoplasms",4095892,188322004,"Malignant neoplasm of peripheral nerves of head, face and neck",SNOMED CT
"Malignancy, except skin neoplasms",4097283,188324003,"Malignant neoplasm of peripheral nerves of lower limb, including hip",SNOMED CT
"Malignancy, except skin neoplasms",4095304,188339002,Malignant neoplasm of pituitary gland and craniopharyngeal duct,SNOMED CT
"Malignancy, except skin neoplasms",75756,188243001,Malignant neoplasm of posterior wall of urinary bladder,SNOMED CT
"Malignancy, except skin neoplasms",4095430,187760008,"Malignant neoplasm of rectum, rectosigmoid junction and anus",SNOMED CT
"Malignancy, except skin neoplasms",40482784,443679004,Malignant neoplasm of skeletal system,SNOMED CT
"Malignancy, except skin neoplasms",80665,188361007,Malignant neoplasm of thorax,SNOMED CT
"Malignancy, except skin neoplasms",440655,187637005,"Malignant neoplasm of tongue, tip and lateral border",SNOMED CT
"Malignancy, except skin neoplasms",4095168,188247000,"Malignant neoplasm, overlapping lesion of bladder",SNOMED CT
"Malignancy, except skin neoplasms",4092513,188157005,"Malignant neoplasm, overlapping lesion of breast",SNOMED CT
"Malignancy, except skin neoplasms",4092515,188180002,"Malignant neoplasm, overlapping lesion of cervix uteri",SNOMED CT
"Malignancy, except skin neoplasms",4094409,188478004,Malignant neoplasms of independent (primary) multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",4110889,254980001,Malignant tumor of acoustic vestibular nerve,SNOMED CT
"Malignancy, except skin neoplasms",4180790,363406005,Malignant tumor of colon,SNOMED CT
"Malignancy, except skin neoplasms",4116238,255077007,Malignant tumor of digestive organ,SNOMED CT
"Malignancy, except skin neoplasms",4112734,254611009,Malignant tumor of endocrine pancreas,SNOMED CT
"Malignancy, except skin neoplasms",4114222,255056009,Malignant tumor of head and neck,SNOMED CT
"Malignancy, except skin neoplasms",443389,363357005,Malignant tumor of ill-defined site,SNOMED CT
"Malignancy, except skin neoplasms",4089530,187653008,Malignant tumor of lateral floor of mouth,SNOMED CT
"Malignancy, except skin neoplasms",4177242,363504005,Malignant tumor of lower limb,SNOMED CT
"Malignancy, except skin neoplasms",4147164,269475001,Malignant tumor of lymphoid hemopoietic and related tissue,SNOMED CT
"Malignancy, except skin neoplasms",4094863,187752007,Malignant tumor of Meckel's diverticulum,SNOMED CT
"Malignancy, except skin neoplasms",4095312,187692001,Malignant tumor of nasopharynx,SNOMED CT
"Malignancy, except skin neoplasms",4114198,254969001,Malignant tumor of olfactory tract,SNOMED CT
"Malignancy, except skin neoplasms",25189,363505006,Malignant tumor of oral cavity,SNOMED CT
"Malignancy, except skin neoplasms",4180793,363418001,Malignant tumor of pancreas,SNOMED CT
"Malignancy, except skin neoplasms",4177236,363484005,Malignant tumor of pelvis,SNOMED CT
"Malignancy, except skin neoplasms",4089665,187801002,Malignant tumor of peritoneum and retroperitoneum,SNOMED CT
"Malignancy, except skin neoplasms",4116235,255072001,Malignant tumor of salivary gland,SNOMED CT
"Malignancy, except skin neoplasms",443397,363509000,Malignant tumor of small intestine,SNOMED CT
"Malignancy, except skin neoplasms",4118989,302816009,"Malignant tumor of soft tissue of head, face and neck",SNOMED CT
"Malignancy, except skin neoplasms",4177112,363432004,Malignant tumor of trachea,SNOMED CT
"Malignancy, except skin neoplasms",4114221,255052006,Malignant tumor of unknown origin,SNOMED CT
"Malignancy, except skin neoplasms",4181485,363503004,Malignant tumor of upper limb,SNOMED CT
"Malignancy, except skin neoplasms",4177113,363438000,Malignant tumor of vertebral column,SNOMED CT
"Malignancy, except skin neoplasms",40481901,443487006,Mantle cell lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",40479608,441559006,Mantle cell lymphoma of spleen,SNOMED CT
"Malignancy, except skin neoplasms",40490918,447100004,Marginal zone lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",36684461,116691000119101,Marginal zone lymphoma of spleen,SNOMED CT
"Malignancy, except skin neoplasms",4002496,110002002,Mast cell leukemia (clinical),SNOMED CT
"Malignancy, except skin neoplasms",4264693,397009000,Mast cell malignancy,SNOMED CT
"Malignancy, except skin neoplasms",4096968,188669003,Mast cell malignancy of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",4094542,188668006,Mast cell malignancy of spleen,SNOMED CT
"Malignancy, except skin neoplasms",4225982,421418009,Mature T-cell AND/OR NK cell neoplasm,SNOMED CT
"Malignancy, except skin neoplasms",313159,188754005,Megakaryocytic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",136930,94148006,Megakaryocytic leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",4033891,109378008,"Mesothelioma (malignant, clinical disorder)",SNOMED CT
"Malignancy, except skin neoplasms",4001666,109853004,Mesothelioma of peritoneum,SNOMED CT
"Malignancy, except skin neoplasms",321526,188744006,Monocytic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",437233,109989006,Multiple myeloma,SNOMED CT
"Malignancy, except skin neoplasms",436059,94704006,Multiple myeloma in remission,SNOMED CT
"Malignancy, except skin neoplasms",4040380,118618005,Mycosis fungoides (clinical),SNOMED CT
"Malignancy, except skin neoplasms",135204,94715001,Mycosis fungoides of extranodal AND/OR solid organ site,SNOMED CT
"Malignancy, except skin neoplasms",201813,94707004,Mycosis fungoides of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",442169,94708009,Mycosis fungoides of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",134879,94709001,Mycosis fungoides of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",141524,94710006,Mycosis fungoides of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",138377,94711005,"Mycosis fungoides of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",194593,94712003,Mycosis fungoides of lymph nodes of inguinal region AND/OR lower limb,SNOMED CT
"Malignancy, except skin neoplasms",135764,188627002,Mycosis fungoides of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",442168,94714002,Mycosis fungoides of spleen,SNOMED CT
"Malignancy, except skin neoplasms",40492268,445738007,Myelodysplastic/myeloproliferative disease,SNOMED CT
"Malignancy, except skin neoplasms",140666,188732008,Myeloid leukemia,SNOMED CT
"Malignancy, except skin neoplasms",760933,122901000119109,Myeloid leukemia in relapse,SNOMED CT
"Malignancy, except skin neoplasms",132850,94716000,Myeloid leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",140967,94719007,Myeloid sarcoma,SNOMED CT
"Malignancy, except skin neoplasms",132575,94718004,Myeloid sarcoma in remission,SNOMED CT
"Malignancy, except skin neoplasms",4054513,126675008,Neoplasm of accessory sinus,SNOMED CT
"Malignancy, except skin neoplasms",4180312,363227003,Neoplasm of extremity,SNOMED CT
"Malignancy, except skin neoplasms",4160342,371481006,Neoplasm of eye region,SNOMED CT
"Malignancy, except skin neoplasms",4130672,127016006,Neoplasm of multiple endocrine glands,SNOMED CT
"Malignancy, except skin neoplasms",4131761,126920004,Neoplasm of placenta,SNOMED CT
"Malignancy, except skin neoplasms",4308811,387837005,Neoplasm of soft tissue,SNOMED CT
"Malignancy, except skin neoplasms",4133600,127230005,Neoplasm of spleen,SNOMED CT
"Malignancy, except skin neoplasms",4149840,269476000,Nodular lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",194878,95194004,Nodular lymphoma of extranodal AND/OR solid organ site,SNOMED CT
"Malignancy, except skin neoplasms",200338,95186006,Nodular lymphoma of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",198088,95187002,Nodular lymphoma of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",435492,95188007,Nodular lymphoma of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",437505,188612002,Nodular lymphoma of lymph nodes of axilla and upper limb,SNOMED CT
"Malignancy, except skin neoplasms",435207,188609000,"Nodular lymphoma of lymph nodes of head, face and neck",SNOMED CT
"Malignancy, except skin neoplasms",198707,188613007,Nodular lymphoma of lymph nodes of inguinal region and lower limb,SNOMED CT
"Malignancy, except skin neoplasms",320347,95192000,Nodular lymphoma of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",198374,95193005,Nodular lymphoma of spleen,SNOMED CT
"Malignancy, except skin neoplasms",4038838,118601006,Non-Hodgkin's lymphoma (clinical),SNOMED CT
"Malignancy, except skin neoplasms",40487528,447989004,Non-Hodgkin's lymphoma of extranodal site,SNOMED CT
"Malignancy, except skin neoplasms",133419,109267002,Overlapping malignant melanoma of skin,SNOMED CT
"Malignancy, except skin neoplasms",198695,109847004,Overlapping malignant neoplasm of biliary tract,SNOMED CT
"Malignancy, except skin neoplasms",198082,109879008,Overlapping malignant neoplasm of body of uterus,SNOMED CT
"Malignancy, except skin neoplasms",4032866,109347009,Overlapping malignant neoplasm of bone and articular cartilage,SNOMED CT
"Malignancy, except skin neoplasms",4033318,109348004,Overlapping malignant neoplasm of bone and articular cartilage of limbs,SNOMED CT
"Malignancy, except skin neoplasms",4003693,109912006,Overlapping malignant neoplasm of brain,SNOMED CT
"Malignancy, except skin neoplasms",372849,109911004,Overlapping malignant neoplasm of brain and other parts of the central nervous system,SNOMED CT
"Malignancy, except skin neoplasms",258375,109371002,Overlapping malignant neoplasm of bronchus and lung,SNOMED CT
"Malignancy, except skin neoplasms",79740,109838007,Overlapping malignant neoplasm of colon,SNOMED CT
"Malignancy, except skin neoplasms",25748,109835005,Overlapping malignant neoplasm of esophagus,SNOMED CT
"Malignancy, except skin neoplasms",438095,109948008,Overlapping malignant neoplasm of eye and adnexa (primary),SNOMED CT
"Malignancy, except skin neoplasms",133711,109886000,Overlapping malignant neoplasm of female breast,SNOMED CT
"Malignancy, except skin neoplasms",196051,109878000,Overlapping malignant neoplasm of female genital organs,SNOMED CT
"Malignancy, except skin neoplasms",140955,109830000,Overlapping malignant neoplasm of floor of mouth,SNOMED CT
"Malignancy, except skin neoplasms",321234,109384006,"Overlapping malignant neoplasm of heart, mediastinum and pleura",SNOMED CT
"Malignancy, except skin neoplasms",440044,109368005,Overlapping malignant neoplasm of hypopharynx,SNOMED CT
"Malignancy, except skin neoplasms",22839,109369002,Overlapping malignant neoplasm of larynx,SNOMED CT
"Malignancy, except skin neoplasms",133710,109822001,Overlapping malignant neoplasm of lip,SNOMED CT
"Malignancy, except skin neoplasms",444224,109833003,"Overlapping malignant neoplasm of lip, oral cavity and pharynx",SNOMED CT
"Malignancy, except skin neoplasms",28356,109824000,Overlapping malignant neoplasm of major salivary gland,SNOMED CT
"Malignancy, except skin neoplasms",4003684,109887009,Overlapping malignant neoplasm of male breast,SNOMED CT
"Malignancy, except skin neoplasms",196645,109874003,Overlapping malignant neoplasm of male genital organs,SNOMED CT
"Malignancy, except skin neoplasms",432558,109367000,Overlapping malignant neoplasm of nasopharynx,SNOMED CT
"Malignancy, except skin neoplasms",438691,109832008,Overlapping malignant neoplasm of oropharynx,SNOMED CT
"Malignancy, except skin neoplasms",4001170,109831001,Overlapping malignant neoplasm of palate,SNOMED CT
"Malignancy, except skin neoplasms",192261,109848009,Overlapping malignant neoplasm of pancreas,SNOMED CT
"Malignancy, except skin neoplasms",4002343,109919002,Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system,SNOMED CT
"Malignancy, except skin neoplasms",438090,109839004,"Overlapping malignant neoplasm of rectum, anus and anal canal",SNOMED CT
"Malignancy, except skin neoplasms",198092,109851002,Overlapping malignant neoplasm of retroperitoneum and peritoneum,SNOMED CT
"Malignancy, except skin neoplasms",199747,109837002,Overlapping malignant neoplasm of small intestine,SNOMED CT
"Malignancy, except skin neoplasms",378081,109349007,Overlapping malignant neoplasm of soft tissues,SNOMED CT
"Malignancy, except skin neoplasms",197803,109836006,Overlapping malignant neoplasm of stomach,SNOMED CT
"Malignancy, except skin neoplasms",436043,109823006,Overlapping malignant neoplasm of tongue,SNOMED CT
"Malignancy, except skin neoplasms",4002498,110013004,Overlapping malignant neoplasm of tonsil,SNOMED CT
"Malignancy, except skin neoplasms",4003029,109885001,Overlapping malignant neoplasm of vulva,SNOMED CT
"Malignancy, except skin neoplasms",434881,109977009,Peripheral T-cell lymphoma (clinical),SNOMED CT
"Malignancy, except skin neoplasms",133154,95210003,Plasma cell leukemia,SNOMED CT
"Malignancy, except skin neoplasms",760936,122981000119101,Plasma cell leukemia in relapse,SNOMED CT
"Malignancy, except skin neoplasms",133158,95209008,Plasma cell leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",443743,415111003,Plasma cell neoplasm,SNOMED CT
"Malignancy, except skin neoplasms",4216139,415112005,Plasmacytoma,SNOMED CT
"Malignancy, except skin neoplasms",135214,109992005,Polycythemia vera (clinical),SNOMED CT
"Malignancy, except skin neoplasms",373152,307649006,Primary central nervous system lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",4301668,404143002,Primary cutaneous follicular center B-cell lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",36716501,722529000,Primary malignant epithelial neoplasm of nasopharynx,SNOMED CT
"Malignancy, except skin neoplasms",439392,372087000,Primary malignant neoplasm,SNOMED CT
"Malignancy, except skin neoplasms",36684472,148911000119107,Primary malignant neoplasm of abdomen,SNOMED CT
"Malignancy, except skin neoplasms",193971,371962007,Primary malignant neoplasm of abdominal esophagus,SNOMED CT
"Malignancy, except skin neoplasms",259748,93659005,Primary malignant neoplasm of accessory sinus,SNOMED CT
"Malignancy, except skin neoplasms",4162115,371963002,Primary malignant neoplasm of adrenal cortex,SNOMED CT
"Malignancy, except skin neoplasms",198104,93665005,Primary malignant neoplasm of adrenal gland,SNOMED CT
"Malignancy, except skin neoplasms",4162859,371966005,Primary malignant neoplasm of adrenal medulla,SNOMED CT
"Malignancy, except skin neoplasms",441225,371967001,Primary malignant neoplasm of ampulla of Vater,SNOMED CT
"Malignancy, except skin neoplasms",436348,93669004,Primary malignant neoplasm of anal canal,SNOMED CT
"Malignancy, except skin neoplasms",436643,93670003,Primary malignant neoplasm of anterior aspect of epiglottis,SNOMED CT
"Malignancy, except skin neoplasms",432844,93671004,Primary malignant neoplasm of anterior mediastinum,SNOMED CT
"Malignancy, except skin neoplasms",438982,93672006,Primary malignant neoplasm of anterior portion of floor of mouth,SNOMED CT
"Malignancy, except skin neoplasms",436042,371968006,Primary malignant neoplasm of anterior two-thirds of tongue,SNOMED CT
"Malignancy, except skin neoplasms",438080,93674007,Primary malignant neoplasm of anterior wall of nasopharynx,SNOMED CT
"Malignancy, except skin neoplasms",40649300,93675008,Primary malignant neoplasm of anterior wall of urinary bladder,SNOMED CT
"Malignancy, except skin neoplasms",80045,93676009,Primary malignant neoplasm of anus,SNOMED CT
"Malignancy, except skin neoplasms",433143,93679002,Primary malignant neoplasm of appendix,SNOMED CT
"Malignancy, except skin neoplasms",444203,128466006,Primary malignant neoplasm of articular cartilage,SNOMED CT
"Malignancy, except skin neoplasms",4247719,93683002,Primary malignant neoplasm of ascending colon,SNOMED CT
"Malignancy, except skin neoplasms",441513,372092003,Primary malignant neoplasm of axillary tail of breast,SNOMED CT
"Malignancy, except skin neoplasms",36684817,353421000119109,Primary malignant neoplasm of axillary tail of left female breast,SNOMED CT
"Malignancy, except skin neoplasms",36684820,353501000119104,Primary malignant neoplasm of axillary tail of right female breast,SNOMED CT
"Malignancy, except skin neoplasms",256633,93687001,Primary malignant neoplasm of base of tongue,SNOMED CT
"Malignancy, except skin neoplasms",194589,371970002,Primary malignant neoplasm of biliary tract,SNOMED CT
"Malignancy, except skin neoplasms",196360,93689003,Primary malignant neoplasm of bladder,SNOMED CT
"Malignancy, except skin neoplasms",434293,93715005,Primary malignant neoplasm of body of pancreas,SNOMED CT
"Malignancy, except skin neoplasms",79749,93716006,Primary malignant neoplasm of body of penis,SNOMED CT
"Malignancy, except skin neoplasms",193422,93717002,Primary malignant neoplasm of body of stomach,SNOMED CT
"Malignancy, except skin neoplasms",4162860,371971003,Primary malignant neoplasm of body of uterus,SNOMED CT
